word,syl,freq,len,complexity,label
border,2,5.01e-05,6,0.25,Medium
bowles,2,1.1e-06,6,0.4901027077497666,Hard
brie,1,1.2e-06,4,0.4722222222222222,Hard
brown,1,0.000102,5,0.203125,Easy
brussels,2,9.77e-06,8,0.3026315789473685,Medium
budgetary,4,1.45e-06,9,0.4048231792717087,Hard
budgeting,3,1.78e-06,9,0.2794117647058823,Medium
budgets,2,5.5e-06,7,0.26710317460317456,Medium
bulgaria,3,7.94e-06,8,0.27614087301587303,Medium
bulgarians,3,8.71e-07,10,0.1964285714285714,Easy
burdens,2,2e-06,7,0.4558823529411765,Hard
bureau,3,2.57e-05,6,0.3095238095238095,Medium
cag,1,3.24e-07,3,0.6323529411764706,Hard
cast,1,6.17e-05,4,0.6176470588235294,Hard
cf,1,7.08e-06,2,0.6438970588235294,Hard
ch,1,8.91e-06,2,0.5340909090909091,Hard
cia,1,1.62e-05,3,0.5124347326649958,Hard
cites,2,4.07e-06,5,0.46139705882352944,Hard
ck,1,2.19e-06,2,0.5125,Hard
co,1,0.000162,2,0.513157894736842,Hard
com,1,1.66e-05,3,0.5294117647058824,Hard
cos,1,1.12e-05,3,0.75,Hard
crs,1,7.94e-07,3,0.4166666666666666,Hard
cs,1,7.94e-06,2,0.6024305555555555,Hard
caesar,2,6.31e-06,6,0.2794117647058823,Medium
caldera,3,4.37e-07,7,0.4852941176470589,Hard
cameroon,3,3.39e-06,8,0.28273809523809523,Medium
campos,2,8.71e-07,6,0.4504385964912281,Hard
canaan,2,1.1e-06,6,0.3194444444444444,Medium
canaanites,4,1.7e-07,10,0.4769054990417219,Hard
capital,3,0.000102,7,0.40625,Hard
caracas,3,1.95e-06,7,0.4666666666666667,Hard
care,2,0.000363,4,0.1363095238095238,Easy
carmel,2,1.66e-06,6,0.5,Hard
carmelite,4,1.78e-07,9,0.5125,Hard
carrier,2,1.95e-05,7,0.3035714285714286,Medium
caspian,2,1.07e-06,7,0.3666666666666667,Hard
catherine,4,1.29e-05,9,0.3382352941176471,Medium
caucasus,3,2.24e-06,8,0.5156775210084034,Hard
cells,1,5.62e-05,5,0.31444099378881984,Medium
centre,2,8.91e-05,6,0.320855614973262,Medium
certification,5,9.33e-06,13,0.3166666666666666,Medium
cesare,3,8.32e-07,6,0.4553921568627451,Hard
chair,1,4.9e-05,5,0.2368421052631579,Easy
chairman,2,6.31e-05,8,0.25,Medium
chairmen,2,1.38e-06,8,0.3,Medium
chamber,2,2.95e-05,7,0.3409950657894737,Medium
change,2,0.000347,6,0.2361111111111111,Easy
changes,2,0.000132,7,0.2205882352941176,Easy
characterization,6,3.39e-06,16,0.2666666666666667,Medium
chief,1,0.000129,5,0.28125,Medium
children,2,0.000295,8,0.1973684210526315,Easy
china,2,0.000126,5,0.2,Easy
christ,1,6.17e-05,6,0.21051796157059313,Easy
christian,2,7.59e-05,9,0.1973684210526315,Easy
christmas,2,8.13e-05,9,0.23508771929824562,Easy
chromosome,4,3.02e-06,10,0.2800012183235867,Medium
citizens,3,5.25e-05,8,0.2046296296296296,Easy
civilisations,5,4.68e-07,13,0.3166666666666666,Medium
climate,3,5.13e-05,7,0.3,Medium
cloning,2,1.7e-06,7,0.30277777777777776,Medium
closure,3,1.29e-05,7,0.25,Medium
coasts,1,2.34e-06,6,0.173076923076923,Easy
code,2,0.00012,4,0.1764705882352941,Easy
coherence,4,1.23e-06,9,0.4411764705882353,Hard
cohesion,3,1.91e-06,8,0.48529411764705876,Hard
cold,1,0.000105,4,0.25,Medium
colleagues,3,1.95e-05,10,0.1785714285714285,Easy
comments,2,7.41e-05,8,0.1428571428571428,Easy
commission,3,8.13e-05,10,0.3010815181335692,Medium
commissioner,4,2.69e-05,12,0.30044642857142856,Medium
commissioners,4,5.89e-06,13,0.35193452380952384,Hard
committee,3,0.000102,9,0.23458741830065355,Easy
communication,5,4.79e-05,13,0.2083333333333333,Easy
communist,3,2.09e-05,9,0.3666666666666667,Hard
community,4,0.000219,9,0.24653886554621848,Medium
compatibility,6,3.89e-06,13,0.1911764705882352,Easy
composition,4,2.14e-05,11,0.2894736842105263,Medium
conciliation,4,5.5e-07,12,0.5264939309056956,Hard
conduct,2,3.31e-05,7,0.3269230769230768,Medium
conference,4,0.000102,10,0.34898190045248867,Hard
congo,2,5.62e-06,5,0.3416666666666666,Medium
conscience,3,9.12e-06,10,0.21875,Easy
conservatives,5,1.38e-05,13,0.2421875,Easy
constitution,4,3.63e-05,12,0.2205882352941176,Easy
constitutional,5,2.14e-05,14,0.24999999999999994,Medium
consumers,3,2.45e-05,9,0.2361111111111111,Easy
containers,3,7.24e-06,10,0.1911764705882352,Easy
control,2,0.000251,7,0.2222222222222222,Easy
controls,2,2.57e-05,8,0.2166666666666666,Easy
convention,3,3.16e-05,10,0.28377192982456134,Medium
coppin,2,1.7e-07,6,0.515625,Hard
corinth,2,9.33e-07,7,0.5,Hard
corrections,3,4.9e-06,11,0.1944444444444444,Easy
correlation,4,7.24e-06,11,0.359375,Hard
council,2,0.00012,7,0.2914705882352941,Medium
counter,2,3.63e-05,7,0.3571428571428571,Hard
court,1,0.000257,5,0.19177631578947363,Easy
crawley,2,1.38e-06,7,0.3260869565217391,Medium
cre,1,5.37e-07,3,0.6720343137254903,Hard
criminal,3,5.62e-05,8,0.2368421052631579,Easy
crisis,2,4.17e-05,6,0.15625,Easy
croatian,2,2.09e-06,8,0.375,Hard
crucify,3,4.9e-07,7,0.3260869565217391,Medium
curry,2,9.12e-06,5,0.3529411764705882,Hard
cush,1,1.95e-07,4,0.4607843137254902,Hard
cut,1,0.000174,3,0.2236842105263157,Easy
cyprus,2,5.13e-06,6,0.3676470588235294,Hard
czech,1,8.91e-06,5,0.3552631578947368,Hard
de,1,0.00017,2,0.6375,Hard
dec,1,1.95e-05,3,0.5357142857142857,Hard
dg,1,1.58e-06,2,0.6491228070175439,Hard
dk,1,2.19e-06,2,0.532608695652174,Hard
dt,1,3.63e-06,2,0.5125,Hard
dagon,2,2.88e-07,5,0.48651960784313725,Hard
dan,1,3.24e-05,3,0.2894736842105263,Medium
daniel,2,4.17e-05,6,0.260703228659885,Medium
david,2,0.000135,5,0.2749131944444444,Medium
davies,2,8.51e-06,6,0.2935267857142857,Medium
day,1,0.000891,3,0.1970486111111111,Easy
debate,3,4.37e-05,6,0.1911764705882352,Easy
debates,3,9.55e-06,7,0.20559210526315785,Easy
december,3,0.000117,8,0.27307692307692305,Medium
decision,3,0.000123,8,0.2368421052631579,Easy
decisions,3,5.25e-05,9,0.3125,Medium
declaration,4,1.26e-05,11,0.3125,Medium
defects,2,5.89e-06,7,0.2,Easy
defence,3,3.24e-05,7,0.1964285714285714,Easy
deletion,3,1.7e-06,8,0.4705882352941176,Hard
deliverer,4,2.4e-07,9,0.3166666666666666,Medium
democrat,3,1.74e-05,8,0.2333333333333333,Easy
denominations,5,1.95e-06,13,0.53125,Hard
design,2,0.000148,6,0.0833333333333333,Easy
desolation,4,1.07e-06,10,0.4642857142857143,Hard
deutsche,2,4.57e-06,8,0.5,Hard
development,4,0.000204,11,0.24938725490196073,Medium
differences,4,3.31e-05,11,0.125,Easy
directive,4,5.13e-06,9,0.3304227941176471,Medium
directives,4,1.62e-06,10,0.33658410732714134,Medium
disease,3,7.94e-05,7,0.125,Easy
dispersion,3,1.51e-06,10,0.48529411764705876,Hard
disruption,3,5.13e-06,10,0.2647058823529411,Medium
documents,3,4.37e-05,9,0.2,Easy
does,1,0.00055,4,0.1666666666666666,Easy
dominica,4,8.51e-07,8,0.46875,Hard
dor,1,6.03e-07,3,0.4558823529411765,Hard
dorcas,2,2.63e-07,6,0.4375,Hard
doris,2,3.8e-06,5,0.3928571428571429,Hard
doubtless,2,1.23e-06,9,0.2857142857142857,Medium
dr,1,0.000174,2,0.2678571428571429,Medium
draft,1,4.07e-05,5,0.296875,Medium
drosophila,4,7.59e-07,10,0.7239554154995331,Hard
dublin,2,1.2e-05,6,0.3125,Medium
ec,1,5.01e-06,2,0.5149070593149541,Hard
econ,2,1.29e-06,4,0.5,Hard
ed,1,6.17e-05,2,0.625,Hard
ef,1,1.91e-06,2,0.6333333333333333,Hard
el,1,3.63e-05,2,0.6447368421052632,Hard
em,1,3.72e-05,2,0.538888888888889,Hard
emu,2,1.12e-06,3,0.6052631578947368,Hard
ep,1,1.62e-05,2,0.6111111111111112,Hard
er,1,1.74e-05,2,0.5265151515151515,Hard
es,1,8.51e-06,2,0.5923859126984127,Hard
et,1,4.57e-05,2,0.4499999999999999,Hard
eu,1,4.17e-05,2,0.3654201680672269,Hard
economic,4,0.000126,8,0.2156593406593406,Easy
education,4,0.000191,9,0.234375,Easy
efficiency,4,2.4e-05,10,0.2647058823529411,Medium
egypt,2,2.82e-05,5,0.2537581699346405,Medium
egyptians,3,3.09e-06,9,0.1699095022624434,Easy
election,3,0.00012,8,0.1833333333333333,Easy
eli,2,5.5e-06,3,0.3317460317460317,Medium
elijah,3,3.47e-06,6,0.2587202380952381,Medium
elisha,3,7.41e-07,6,0.38016290726817037,Hard
elizabeth,4,2.95e-05,9,0.31361607142857145,Medium
emir,2,1.12e-06,4,0.675,Hard
employment,3,3.63e-05,10,0.23834064327485377,Easy
empowerment,4,3.47e-06,11,0.28125,Medium
energy,3,0.00017,6,0.125,Easy
enforcement,4,2.82e-05,11,0.2368421052631579,Easy
english,2,0.000155,7,0.2166666666666666,Easy
enlargement,4,1.58e-06,11,0.296875,Medium
enoch,2,1.23e-06,5,0.48416364734299516,Hard
entrepreneurs,4,7.94e-06,13,0.275,Medium
environment,4,7.41e-05,11,0.2847222222222222,Medium
envoys,2,8.71e-07,6,0.381578947368421,Hard
ephesians,3,8.71e-07,9,0.6111111111111112,Hard
ephraim,2,1.05e-06,7,0.4986006683375104,Hard
equal,2,4.47e-05,5,0.2,Easy
erasmus,3,1.32e-06,7,0.578125,Hard
establishment,4,2.63e-05,13,0.2864583333333333,Medium
esther,2,4.17e-06,6,0.38404882154882153,Hard
estonia,3,3.02e-06,7,0.4056535947712418,Hard
ethiopia,3,5.37e-06,8,0.375,Hard
ethiopians,3,5.13e-07,10,0.30422794117647056,Medium
euphrates,3,7.76e-07,9,0.671875,Hard
europe,3,0.00011,6,0.23318713450292394,Easy
european,3,0.00012,8,0.18034547152194205,Easy
europeans,3,7.41e-06,9,0.2857142857142857,Medium
evaluation,4,1.62e-05,10,0.375,Hard
eve,2,2.09e-05,3,0.1111111111111111,Easy
events,2,0.00012,6,0.375,Hard
evidence,4,0.000138,8,0.2624999999999999,Medium
excellencies,4,9.33e-08,12,0.4285714285714286,Hard
exchange,3,7.08e-05,8,0.3269230769230768,Medium
exchanges,3,8.91e-06,9,0.2205882352941176,Easy
explanations,4,5.75e-06,12,0.1785714285714285,Easy
expo,2,4.37e-06,4,0.4,Hard
exports,2,1.23e-05,7,0.28485576923076916,Medium
expression,3,3.55e-05,10,0.3228070175438596,Medium
external,3,3.31e-05,8,0.3235294117647058,Medium
ezra,2,3.24e-06,4,0.49150815217391297,Hard
fas,1,1.1e-06,3,0.6086956521739131,Hard
fr,1,1.23e-05,2,0.4411764705882353,Hard
faithful,2,1.26e-05,8,0.25,Medium
falconer,3,6.46e-07,8,0.4499999999999999,Hard
family,3,0.000457,6,0.2166666666666666,Easy
father,2,0.000182,6,0.11851851851851851,Easy
fearfulness,3,4.47e-08,11,0.25,Medium
february,3,0.000107,8,0.2142857142857143,Easy
federation,4,1.82e-05,10,0.40625,Hard
fiber,2,1.15e-05,5,0.3333333333333333,Medium
figure,3,0.000117,6,0.1686111111111111,Easy
figures,3,5.37e-05,7,0.16959064327485374,Easy
finance,3,4.47e-05,7,0.23455882352941174,Easy
finland,2,8.91e-06,7,0.2883928571428571,Medium
finns,1,7.59e-07,5,0.4264705882352941,Hard
first,1,0.00129,5,0.1789215686274509,Easy
fisheries,3,4.9e-06,9,0.31180438842203545,Medium
folly,2,2.19e-06,5,0.5714285714285714,Hard
food,1,0.000251,4,0.1909722222222222,Easy
forum,2,2.4e-05,5,0.3235294117647058,Medium
forwarding,3,1.62e-06,10,0.375,Hard
framework,3,1.95e-05,9,0.33606811145510834,Medium
frank,1,5.62e-05,5,0.381578947368421,Hard
frankfurt,2,4.17e-06,9,0.375,Hard
friend,1,0.000234,6,0.203125,Easy
fund,1,6.61e-05,4,0.15625,Easy
funds,1,5.5e-05,5,0.1666666666666666,Easy
gm,1,1.45e-05,2,0.4264705882352941,Hard
gue,1,1.51e-07,3,0.5401041666666666,Hard
gabriel,2,8.32e-06,7,0.4117647058823529,Hard
gad,1,8.32e-07,3,0.5613291313949209,Hard
gaius,2,9.77e-07,5,0.5005252100840336,Hard
galilee,3,1.32e-06,7,0.4285714285714286,Hard
gender,2,3.89e-05,6,0.25,Medium
gene,2,2.29e-05,4,0.27205882352941174,Medium
general,3,0.000295,7,0.2619047619047618,Medium
geneva,3,1e-05,6,0.4027777777777778,Hard
gentiles,3,1.02e-06,8,0.4595655806182122,Hard
georgia,2,2.88e-05,7,0.26307189542483655,Medium
germany,3,7.94e-05,7,0.27001633986928103,Medium
ghana,2,7.94e-06,5,0.3676470588235294,Hard
giuseppe,3,1.38e-06,8,0.6153846153846154,Hard
gladness,2,3.02e-07,8,0.27218614718614714,Medium
glasgow,2,1.55e-05,7,0.4375,Hard
globalisation,5,8.91e-07,13,0.4535341417268661,Hard
god,1,0.000372,3,0.218547471620227,Easy
goethe,2,1.41e-06,6,0.5,Hard
gog,1,4.17e-07,3,0.5944444444444444,Hard
goiter,2,1.15e-07,6,0.6785714285714286,Hard
golgotha,3,1.62e-07,8,0.5014705882352941,Hard
goliath,2,1.41e-06,7,0.3235294117647058,Medium
gomorrah,3,3.16e-07,8,0.4210526315789473,Hard
goshen,2,4.37e-07,6,0.5773809523809523,Hard
governance,4,1.23e-05,10,0.37367724867724866,Hard
government,3,0.000372,10,0.15194235588972427,Easy
greece,2,1.91e-05,6,0.171875,Easy
green,1,0.000135,5,0.20931372549019606,Easy
gremlin,2,4.27e-07,7,0.5340909090909091,Hard
groundwater,3,2.75e-06,11,0.3833333333333333,Hard
group,1,0.000372,5,0.1965774321424476,Easy
guinea,2,1.15e-05,6,0.4558823529411765,Hard
heat,1,7.24e-05,4,0.34375,Medium
hg,1,1.7e-06,2,0.6458333333333334,Hard
hl,1,1.45e-06,2,0.7307692307692307,Hard
hy,1,1.07e-06,2,0.421875,Hard
hagar,2,3.89e-07,5,0.49947916666666664,Hard
hague,2,4.47e-06,5,0.55,Hard
haiti,2,5.25e-06,5,0.3177083333333333,Medium
haman,2,2.19e-07,5,0.443484907120743,Hard
health,1,0.000275,6,0.20206971677559912,Easy
hebrew,2,8.13e-06,6,0.2884615384615384,Medium
hebrews,2,1.51e-06,7,0.32407407407407407,Medium
hedgehog,3,1.78e-06,8,0.34375,Medium
helsinki,3,2.29e-06,8,0.2631578947368421,Medium
heman,2,7.94e-08,5,0.4519230769230769,Hard
herman,2,4.47e-06,6,0.4285714285714286,Hard
hezekiah,3,3.98e-07,8,0.4817590497737557,Hard
hittite,3,3.09e-07,7,0.6058333333333333,Hard
hogan,2,4.27e-06,5,0.46875,Hard
holding,2,7.76e-05,7,0.3088235294117647,Medium
holy,2,7.59e-05,4,0.2222222222222222,Easy
home,2,0.000646,4,0.2048611111111111,Easy
honduras,3,3.98e-06,8,0.2916666666666666,Medium
hor,1,4.27e-07,3,0.5091911764705883,Hard
horn,1,1.38e-05,4,0.34027777777777773,Medium
hosanna,3,2.19e-07,7,0.5147058823529411,Hard
hosea,2,3.72e-07,5,0.475,Hard
house,2,0.000513,5,0.19476190476190475,Easy
hunchback,2,4.9e-07,9,0.484375,Hard
hungary,3,8.13e-06,7,0.38893188854489164,Hard
husbands,2,5.89e-06,8,0.265625,Medium
hyperactivity,6,7.24e-07,13,0.425,Hard
ii,1,0.000105,2,0.3888888888888888,Hard
iii,2,4.27e-05,3,0.4833333333333333,Hard
ia,1,5.01e-06,2,0.5714285714285714,Hard
iceland,3,6.17e-06,7,0.2412037037037037,Easy
identification,6,1.51e-05,14,0.25,Medium
immunities,4,3.55e-07,10,0.3947368421052631,Hard
implementation,5,2.04e-05,14,0.3595803233574131,Hard
implementing,4,8.13e-06,12,0.3833333333333333,Hard
imports,2,7.59e-06,7,0.3333333333333333,Medium
inclusion,3,1.05e-05,9,0.375,Hard
independence,5,3.8e-05,12,0.2666666666666667,Medium
indonesia,4,1.78e-05,9,0.27488425925925924,Medium
industry,3,0.000155,8,0.2142857142857143,Easy
information,4,0.000269,11,0.18281249999999993,Easy
insolvency,4,1.51e-06,10,0.3970588235294118,Hard
institutions,4,3.8e-05,12,0.2166666666666666,Easy
internal,3,4.57e-05,8,0.24107142857142855,Easy
international,5,0.000229,13,0.2868507051943584,Medium
internet,3,0.000115,8,0.1911764705882352,Easy
interpretation,5,1.66e-05,14,0.2249999999999999,Easy
intranet,3,3.47e-07,8,0.4833333333333333,Hard
introduction,4,3.31e-05,12,0.1346153846153846,Easy
investigations,5,1.62e-05,14,0.2638888888888888,Medium
ir,1,4.79e-06,2,0.5555555555555556,Hard
iran,2,4.17e-05,4,0.26187499999999997,Medium
iraq,2,2.69e-05,4,0.2409722222222222,Easy
ireland,3,4.57e-05,7,0.25148809523809523,Medium
isaac,2,8.51e-06,5,0.2724952086097597,Medium
isaiah,3,3.98e-06,6,0.3158564814814815,Medium
ishmael,2,6.92e-07,7,0.3585348174357462,Hard
islam,2,2.63e-05,5,0.2321428571428571,Easy
israel,2,5.89e-05,6,0.3029411764705882,Medium
italy,3,4.57e-05,5,0.1833333333333333,Easy
jackson,2,3.8e-05,7,0.3166666666666666,Medium
jacob,2,1.7e-05,5,0.2609821121431028,Medium
james,2,0.000129,5,0.2142857142857143,Easy
january,3,0.000123,7,0.0555555555555555,Easy
jean,1,2.29e-05,4,0.4875,Hard
jehoshaphat,4,8.71e-08,11,0.5080654761904763,Hard
jeremiah,3,3.02e-06,8,0.29117647058823526,Medium
jericho,3,2.14e-06,7,0.37934173669467786,Hard
jerusalem,4,1.58e-05,9,0.2415718105423988,Easy
jesse,2,1.1e-05,5,0.24009287925696593,Easy
jesus,2,9.77e-05,5,0.2386554621848739,Easy
jews,1,2.95e-05,4,0.20784970238095238,Easy
jezebel,3,6.03e-07,7,0.3625,Hard
johannesburg,4,4.68e-06,12,0.5,Hard
john,1,0.00024,4,0.2421875,Easy
joint,1,5.13e-05,5,0.3003289473684211,Medium
jonathan,3,2.04e-05,8,0.27213541666666663,Medium
jordan,2,3.24e-05,6,0.34109326625386993,Medium
joseph,2,3.31e-05,6,0.24432598039215683,Easy
joshua,2,8.32e-06,6,0.26589169000933705,Medium
jubilee,3,2.75e-06,7,0.375,Hard
judah,2,2.51e-06,5,0.37262715612560815,Hard
july,2,0.000148,4,0.0714285714285714,Easy
june,2,0.000162,4,0.18291316526610638,Easy
justice,3,9.33e-05,7,0.2622767857142857,Medium
k,1,8.13e-05,1,0.4599624060150376,Hard
kb,1,2.95e-06,2,0.671875,Hard
kif,1,1.38e-07,3,0.7333333333333333,Hard
ko,1,5.37e-06,2,0.5106872294372294,Hard
kos,1,1.1e-06,3,0.7374999999999999,Hard
kant,1,1.32e-06,4,0.3452380952380952,Medium
kiev,1,3.02e-06,4,0.4027777777777778,Hard
kim,1,3.89e-05,3,0.4130434782608695,Hard
king,1,0.000148,4,0.15416666666666665,Easy
kingdom,2,4.17e-05,7,0.24066844919786093,Easy
kivu,2,2e-07,4,0.5261904761904762,Hard
knockout,2,4.07e-06,8,0.2777777777777778,Medium
korea,2,4.47e-05,5,0.265625,Medium
lag,1,4.68e-06,3,0.6052631578947368,Hard
ld,1,2.34e-06,2,0.6821428571428572,Hard
ln,1,5.37e-06,2,0.59375,Hard
lod,1,4.47e-07,3,0.6176470588235294,Hard
labelling,3,1.41e-06,9,0.32291666666666663,Medium
ladies,2,4.37e-05,6,0.2,Easy
lamb,1,1.05e-05,4,0.2916666666666667,Medium
lament,2,1.78e-06,6,0.3088235294117647,Medium
lander,2,1.41e-06,6,0.5166666666666667,Hard
latin,2,3.02e-05,5,0.28869047619047616,Medium
latvia,2,2.75e-06,6,0.3521472953216374,Hard
le,1,3.16e-05,2,0.4375,Hard
league,2,0.000135,6,0.2867647058823529,Medium
lebanon,3,1.02e-05,7,0.3023099415204678,Medium
legal,2,0.00012,5,0.075,Easy
leonardo,3,4.79e-06,8,0.59375,Hard
leone,2,4.37e-06,5,0.4464285714285714,Hard
levels,2,9.33e-05,6,0.3020833333333333,Medium
levi,2,3.47e-06,4,0.38256448412698413,Hard
liberal,3,4.57e-05,7,0.2222222222222222,Easy
liberals,3,1.35e-05,8,0.26859649122807017,Medium
liberties,3,4.9e-06,9,0.2794117647058823,Medium
liechtenstein,3,5.89e-07,13,0.4639747346306944,Hard
lin,1,6.31e-06,3,0.6071428571428571,Hard
linkages,3,7.08e-07,8,0.4473684210526315,Hard
lion,1,1.78e-05,4,0.1710526315789473,Easy
lisbon,2,4.37e-06,6,0.33685661764705876,Medium
lithuania,3,3.16e-06,9,0.32732026143790843,Medium
lithuanian,3,1.58e-06,10,0.4642857142857143,Hard
lord,1,0.000126,4,0.23751770731175764,Easy
lud,1,1.7e-07,3,0.53125,Hard
lulling,2,1.15e-07,7,0.4166666666666666,Hard
luxembourg,3,3.72e-06,10,0.41170634920634924,Hard
ma,1,4.27e-05,2,0.5582589285714286,Hard
md,1,1.58e-05,2,0.609375,Hard
mem,1,8.13e-07,3,0.6515625,Hard
ml,1,6.92e-06,2,0.6388888888888888,Hard
mn,1,5.37e-06,2,0.8055555555555556,Hard
mr,1,0.00049,2,0.6029411764705882,Hard
mss,1,5.13e-07,3,0.4558823529411765,Hard
macedonia,4,2.34e-06,9,0.405812478500172,Hard
madagascar,4,2.45e-06,10,0.421875,Hard
madam,2,3.89e-06,5,0.2184301900584795,Easy
madame,3,6.31e-06,6,0.3088235294117647,Medium
madeira,3,9.12e-07,7,0.453125,Hard
maim,1,4.37e-07,4,0.4444444444444444,Hard
malaysia,3,1.91e-05,8,0.19423076923076915,Easy
malta,2,3.47e-06,5,0.3652416367004468,Hard
map,1,5.75e-05,3,0.234375,Easy
march,1,0.000182,5,0.24537037037037032,Medium
maria,2,2.19e-05,5,0.3289473684210526,Medium
maritime,4,9.12e-06,8,0.4554154995331466,Hard
market,2,0.000195,6,0.22192982456140345,Easy
marseilles,3,7.76e-07,10,0.3970588235294118,Hard
martens,2,6.17e-07,7,0.42020089285714285,Hard
martin,2,5.5e-05,6,0.3166666666666666,Medium
matthew,2,2.34e-05,7,0.2352941176470588,Easy
mauritania,4,7.41e-07,10,0.4695596988795518,Hard
may,1,0.000955,3,0.2352941176470588,Easy
mb,1,6.03e-06,2,0.484375,Hard
medals,2,9.55e-06,6,0.25,Medium
media,2,0.0002,5,0.2941176470588235,Medium
medina,3,2.09e-06,6,0.4015625,Hard
